id,season,line-text,speaker
1,1,all right jim your quarterlies look very good how are things at the library,Michael
2,1,oh i told you i couldn't close it so,Jim
3,1,so you've come to the master for guidance is this what you're saying grasshopper,Michael
4,1,actually you called me in here but yeah,Jim
5,1,all right well let me show you how it's done,Michael
6,1,yes i'd like to speak to your office manager please yes hello this is michael scott i am the regional manager of dunder mifflin paper products just wanted to talk to you manager-a-manger all right done deal thank you very much sir you're a gentleman and a scholar oh i'm sorry ok i'm sorry my mistake that was a woman i was talking to so she had a very low voice probably a smoker so so that's the way it's done,Michael
7,1,i've uh i've been at dunder mifflin for 12 years the last four as regional manager if you want to come through here see we have the entire floor so this is my kingdom as far as the eye can see this is our receptionist pam pam pam-pam pam beesly pam has been with us for forever right pam,Michael
8,1,well i don't know,Pam
9,1,if you think she's cute now you should have seen her a couple of years ago,Michael
10,1,what,Pam
11,1,any messages,Michael
12,1,uh yeah just a fax,Pam
13,1,oh pam this is from corporate how many times have i told you there's a special filing cabinet for things from corporate,Michael
14,1,you haven't told me,Pam
15,1,it's called the wastepaper basket look at that look at that face,Michael
16,1,people say i am the best boss they go 'god we've never worked in a place like this before you're hilarious' 'and you get the best out of us' i think that pretty much sums it up i found it at spencer gifts,Michael
17,1,shall i play for you pa rum pump um pum i have no gifts for you pa rum pump um pum,Dwight
18,1,my job is to speak to clients on the phone about uh quantities and type of copier paper you know whether we can supply it to them whether they can pay for it and i'm boring myself just talking about this,Jim
19,1,whassup,Michael
20,1,whassup i still love that after seven years,Jim
21,1,whassup,Michael
22,1,whassup,Dwight
23,1,whassup,Michael
24,1,whassup,Dwight
25,1,what,Michael
26,1,nothing,Jim
27,1,ok all right see you later,Michael
28,1,all right take care,Jim
29,1,back to work,Michael
31,1,corporate really doesn't really interfere with me at all jan levinson gould jan hello i call her hillary rodham clinton right not to her face because well not because i'm scared of her because i'm not but um yeah,Michael
33,1,um me no get an agenda,Michael
35,1,i didn't get any agenda,Michael
37,1,really i didn't did we get a fax this morning,Michael
38,1,uh yeah the one,Pam
39,1,why isn't it in my hand a company runs on efficiency of communication right so what's the problem pam why didn't i get it,Michael
40,1,you put in the garbage can that was a special filing cabinet,Pam
41,1,yeah that was a joke that was a joke that was actually my brother's and it was supposed to be with bills and it doesn't work great with faxes,Michael
43,1,yeah yeah lovely thank you,Michael
45,1,ok,Michael
47,1,no no no no this is good this is good this is fine excellent,Michael
49,1,all the alarm bells are kind of going ringie-dingie-ding,Michael
51,1,ok no problem,Michael
53,1,me no wanna hear that jan because downsizing is a bitch it is a real bitch and i wouldn't wish that on josh's men i certainly wouldn't wish it on my men or women present company excluded sorry uh is josh concerned about downsizing himself not downsizing himself but is he concerned about downsizing,Michael
54,1,question how long do we have to oh uh todd packer terrific rep do you mind if i take it,Michael
58,1,oh that's not appropriate,Michael
60,1,uh i don't know what you mean,Michael
62,1,oh my god oh that's horrifying horrible horrible person,Michael
64,1,no absolutely under this regime it will not leave this office like that,Michael
67,1,you guys better update your resumes just like i'm doing,Oscar
68,1,i bet it's gonna be me probably gonna be me,Angela
69,1,yeah it'll be you,Kevin
70,1,i have an important question for you,Pam
71,1,yes,Jim
72,1,are you going to angela's cat party on sunday,Pam
73,1,yeah stop that is ridiculous,Jim
74,1,am i going to tell them no i am not going to tell them i don't see the point of that as a doctor you would not tell a patient if they had cancer,Michael
75,1,hey,Michael
77,1,this is mr scott,Pam
78,1,guilty guilty as charged,Michael
80,1,howard like moe howard three stooges,Michael
82,1,watch this this is moe nyuck-nyuck-nyuck-nyuck-nyuck mee ah right here three stooges oh pam it's a guy thing pam i'm sort of a student of comedy watch this here we go i'm hitler adolf hitler,Michael
83,1,i don't think it would be the worst thing if they let me go because then i might i don't think it's many little girls' dream to be a receptionist i like to do illustrations um mostly watercolor a few oil pencil um jim thinks they're good,Pam
84,1,dunder mifflin this is pam,Pam
85,1,sure mr davis let me call you right back yeah something just came up two minutes thank you very much dwight what are you doing,Jim
86,1,what,Dwight
87,1,what are you doing,Jim
88,1,just clearing my desk i can't concentrate,Dwight
89,1,it's not on your desk,Jim
90,1,it's overlapping it's all spilling over the edge one word two syllables demarcation,Dwight
91,1,you can't do that,Dwight
92,1,why not,Jim
93,1,safety violation i could fall and pierce an organ,Dwight
94,1,we'll see this is why the whole downsizing thing just doesn't bother me,Jim
95,1,downsizing,Dwight
96,1,downsizing i have no problem with that i have been recommending downsizing since i first got here i even brought it up in my interview i say bring it on,Dwight
97,1,you just still have these messages from yesterday,Pam
98,1,relax everything's under control uh yeah yeah that's important right oh this is so important i should run to answer it,Michael
99,1,what,Pam
100,1,come on six-million dollar man steve austin actually that would be a good salary for me don't you think six million dollars memo to jan i deserve a raise,Michael
101,1,don't we all,Pam
102,1,i'm sorry,Michael
103,1,nothing,Pam
104,1,if you're unhappy with your compensation maybe you should take it up with hr ok not today ok pam just be professional,Michael
105,1,i think i'm a role model here i think i garner people's respect attention all dunder mifflin employees please we have a meeting in the conference room asap,Michael
106,1,people i respect heroes of mine would be bob hope abraham lincoln definitely bono and probably god would be the fourth one and i just think all those people really helped the world in so many ways that it's really beyond words it's really incalculable,Michael
107,1,now i know there's some rumors out there and i just kind of want to set the record straight,Michael
108,1,i'm assistant regional manager i should know first,Dwight
109,1,assistant to the regional manager,Michael
110,1,ok um can you just tell me please just tell me quietly can you whisper it in my ear,Dwight
111,1,i'm about to tell everybody i'm just about to tell everybody,Michael
112,1,can't you just tell us,Oscar
113,1,please ok do you want me to tell 'em,Dwight
114,1,you don't know what it is,Michael
115,1,ok you tell 'em with my permission permission granted,Dwight
116,1,i don't need your permission,Michael
117,1,go ahead,Dwight
118,1,corporate has deemed it appropriate to enforce an ultimatum upon me and jan is thinking about downsizing either the stamford branch or this branch,Michael
120,1,yeah but michael what if they downsize here,Oscar
121,1,not gonna happen,Michael
123,1,it won't be out of my hands stanley ok i promise you that,Michael
125,1,on his mother's grave,Dwight
126,1,no,Michael
128,1,well yeah it is a promise and frankly i'm a little insulted that you have to keep asking about it,Michael
130,1,i know hold on a second i think pam wanted to say something pam you had a look that you wanted to ask a question just then,Michael
131,1,i was in the meeting with jan and she did say that it could be this branch that gets the axe,Pam
