speaker,Encounter With,season,Shared Episodes
Angela,Documentary Crew Member,1,1
Documentary Crew Member,Angela,1,1
Angela,Dwight,1,6
Angela,Dwight,2,22
Angela,Dwight,3,23
Angela,Dwight,4,14
Angela,Dwight,5,22
Angela,Dwight,6,21
Angela,Dwight,7,22
Angela,Dwight,8,22
Angela,Dwight,9,23
Dwight,Angela,1,6
Dwight,Angela,2,22
Dwight,Angela,3,23
Dwight,Angela,4,14
Dwight,Angela,5,22
Dwight,Angela,6,21
Dwight,Angela,7,22
Dwight,Angela,8,22
Dwight,Angela,9,23
Angela,Jan,1,3
Angela,Jan,2,11
Angela,Jan,3,16
Angela,Jan,4,7
Angela,Jan,5,2
Angela,Jan,7,1
Angela,Jan,9,2
Jan,Angela,1,3
Jan,Angela,2,11
Jan,Angela,3,16
Jan,Angela,4,7
Jan,Angela,5,2
Jan,Angela,7,1
Jan,Angela,9,2
Angela,Jim,1,6
Angela,Jim,2,22
Angela,Jim,3,23
Angela,Jim,4,14
Angela,Jim,5,22
Angela,Jim,6,20
Angela,Jim,7,22
Angela,Jim,8,22
Angela,Jim,9,23
Jim,Angela,1,6
Jim,Angela,2,22
Jim,Angela,3,23
Jim,Angela,4,14
Jim,Angela,5,22
Jim,Angela,6,20
Jim,Angela,7,22
Jim,Angela,8,22
Jim,Angela,9,23
Angela,Kevin,1,6
Angela,Kevin,2,21
Angela,Kevin,3,23
Angela,Kevin,4,13
Angela,Kevin,5,22
Angela,Kevin,6,21
Angela,Kevin,7,20
Angela,Kevin,8,22
Angela,Kevin,9,23
Kevin,Angela,1,6
Kevin,Angela,2,21
Kevin,Angela,3,23
Kevin,Angela,4,13
Kevin,Angela,5,22
Kevin,Angela,6,21
Kevin,Angela,7,20
Kevin,Angela,8,22
Kevin,Angela,9,23
Angela,Man,1,1
Angela,Man,2,2
Angela,Man,3,4
Angela,Man,4,2
Angela,Man,5,2
Angela,Man,7,2
Angela,Man,8,2
Angela,Man,9,2
Man,Angela,1,1
Man,Angela,2,2
Man,Angela,3,4
Man,Angela,4,2
Man,Angela,5,2
Man,Angela,7,2
Man,Angela,8,2
Man,Angela,9,2
Angela,Michael,1,6
Angela,Michael,2,22
Angela,Michael,3,23
Angela,Michael,4,14
Angela,Michael,5,22
Angela,Michael,6,21
Angela,Michael,7,19
Angela,Michael,9,1
Michael,Angela,1,6
Michael,Angela,2,22
Michael,Angela,3,23
Michael,Angela,4,14
Michael,Angela,5,22
Michael,Angela,6,21
Michael,Angela,7,19
Michael,Angela,9,1
Angela,Michel,1,1
Angela,Michel,5,1
Angela,Michel,6,2
Angela,Michel,7,1
Michel,Angela,1,1
Michel,Angela,5,1
Michel,Angela,6,2
Michel,Angela,7,1
Angela,Oscar,1,6
Angela,Oscar,2,21
Angela,Oscar,3,10
Angela,Oscar,4,13
Angela,Oscar,5,20
Angela,Oscar,6,20
Angela,Oscar,7,22
Angela,Oscar,8,22
Angela,Oscar,9,23
Oscar,Angela,1,6
Oscar,Angela,2,21
Oscar,Angela,3,10
Oscar,Angela,4,13
Oscar,Angela,5,20
Oscar,Angela,6,20
Oscar,Angela,7,22
Oscar,Angela,8,22
Oscar,Angela,9,23
Angela,Pam,1,6
Angela,Pam,2,22
Angela,Pam,3,23
Angela,Pam,4,14
Angela,Pam,5,22
Angela,Pam,6,21
Angela,Pam,7,22
Angela,Pam,8,18
Angela,Pam,9,23
Pam,Angela,1,6
Pam,Angela,2,22
Pam,Angela,3,23
Pam,Angela,4,14
Pam,Angela,5,22
Pam,Angela,6,21
Pam,Angela,7,22
Pam,Angela,8,18
Pam,Angela,9,23
Angela,Phyllis,1,3
Angela,Phyllis,2,20
Angela,Phyllis,3,20
Angela,Phyllis,4,14
Angela,Phyllis,5,22
Angela,Phyllis,6,20
Angela,Phyllis,7,22
Angela,Phyllis,8,22
Angela,Phyllis,9,19
Phyllis,Angela,1,3
Phyllis,Angela,2,20
Phyllis,Angela,3,20
Phyllis,Angela,4,14
Phyllis,Angela,5,22
Phyllis,Angela,6,20
Phyllis,Angela,7,22
Phyllis,Angela,8,22
Phyllis,Angela,9,19
Angela,Roy,1,4
Angela,Roy,2,12
Angela,Roy,3,12
Angela,Roy,5,1
Angela,Roy,9,1
Roy,Angela,1,4
Roy,Angela,2,12
Roy,Angela,3,12
Roy,Angela,5,1
Roy,Angela,9,1
Angela,Ryan,1,6
Angela,Ryan,2,22
Angela,Ryan,3,22
Angela,Ryan,4,9
Angela,Ryan,5,10
Angela,Ryan,6,20
Angela,Ryan,7,21
Angela,Ryan,8,20
Angela,Ryan,9,2
Ryan,Angela,1,6
Ryan,Angela,2,22
Ryan,Angela,3,22
Ryan,Angela,4,9
Ryan,Angela,5,10
Ryan,Angela,6,20
Ryan,Angela,7,21
Ryan,Angela,8,20
Ryan,Angela,9,2
Angela,Stanley,1,6
Angela,Stanley,2,21
Angela,Stanley,3,23
Angela,Stanley,4,13
Angela,Stanley,5,21
Angela,Stanley,6,18
Angela,Stanley,7,20
Angela,Stanley,8,21
Angela,Stanley,9,20
Stanley,Angela,1,6
Stanley,Angela,2,21
Stanley,Angela,3,23
Stanley,Angela,4,13
Stanley,Angela,5,21
Stanley,Angela,6,18
Stanley,Angela,7,20
Stanley,Angela,8,21
Stanley,Angela,9,20
Angela,Todd Packer,1,2
Angela,Todd Packer,2,3
Angela,Todd Packer,6,2
Angela,Todd Packer,7,1
Angela,Todd Packer,8,2
Angela,Todd Packer,9,1
Todd Packer,Angela,1,2
Todd Packer,Angela,2,3
Todd Packer,Angela,6,2
Todd Packer,Angela,7,1
Todd Packer,Angela,8,2
Todd Packer,Angela,9,1
Documentary Crew Member,Dwight,1,1
Dwight,Documentary Crew Member,1,1
Documentary Crew Member,Jan,1,1
Jan,Documentary Crew Member,1,1
Documentary Crew Member,Jim,1,1
Jim,Documentary Crew Member,1,1
Documentary Crew Member,Kevin,1,1
Kevin,Documentary Crew Member,1,1
Documentary Crew Member,Man,1,1
Man,Documentary Crew Member,1,1
Documentary Crew Member,Michael,1,1
Michael,Documentary Crew Member,1,1
Documentary Crew Member,Michel,1,1
Michel,Documentary Crew Member,1,1
Documentary Crew Member,Oscar,1,1
Oscar,Documentary Crew Member,1,1
Documentary Crew Member,Pam,1,1
Pam,Documentary Crew Member,1,1
Documentary Crew Member,Phyllis,1,1
Phyllis,Documentary Crew Member,1,1
Documentary Crew Member,Roy,1,1
Roy,Documentary Crew Member,1,1
Documentary Crew Member,Ryan,1,1
Ryan,Documentary Crew Member,1,1
Documentary Crew Member,Stanley,1,1
Stanley,Documentary Crew Member,1,1
Documentary Crew Member,Todd Packer,1,1
Todd Packer,Documentary Crew Member,1,1
Dwight,Jan,1,3
Dwight,Jan,2,11
Dwight,Jan,3,16
Dwight,Jan,4,7
Dwight,Jan,5,2
Dwight,Jan,7,2
Dwight,Jan,9,2
Jan,Dwight,1,3
Jan,Dwight,2,11
Jan,Dwight,3,16
Jan,Dwight,4,7
Jan,Dwight,5,2
Jan,Dwight,7,2
Jan,Dwight,9,2
Dwight,Jim,1,6
Dwight,Jim,2,22
Dwight,Jim,3,23
Dwight,Jim,4,14
Dwight,Jim,5,26
Dwight,Jim,6,23
Dwight,Jim,7,24
Dwight,Jim,8,24
