Speaker,Listener,Top Words
Michael,Michael,
Michael,Dwight,"you (1771), i (1576), the (1212), to (1195), a (983), it (797), and (770), that (738), is (719), no (668), what (561), of (532), this (443), we (437), have (421), are (414), know (393), not (382), do (379), don't (373)"
Michael,Pam,"you (1404), i (1393), to (932), the (916), a (831), and (707), is (613), it (587), that (585), of (477), no (458), what (433), this (377), have (354), we (342), in (333), do (319), know (313), me (305), okay (304)"
Michael,Kevin,"you (716), i (584), to (477), the (380), a (369), it (313), is (313), that (303), and (303), no (286), of (234), what (210), this (174), we (168), are (166), okay (165), have (164), not (157), know (156), do (154)"
Michael,Oscar,"you (671), i (627), to (435), the (430), a (406), and (315), that (304), it (303), is (288), no (270), of (254), what (184), this (175), we (164), have (148), not (147), in (145), do (145), know (138), me (130)"
Michael,Jim,"i (1316), you (1283), to (937), the (818), a (752), and (583), it (577), is (574), that (534), no (474), of (466), what (404), this (357), we (347), have (314), know (300), me (295), do (291), are (286), don't (285)"
Michael,Angela,"you (557), i (489), to (428), the (361), a (310), and (278), is (272), it (261), that (233), no (224), of (196), this (169), what (164), we (150), do (134), are (134), have (127), know (121), okay (121), not (118)"
Dwight,Michael,"you (724), i (629), the (581), a (500), to (459), it (313), is (263), and (263), no (255), that (229), of (222), what (209), michael (209), in (190), have (185), this (183), me (182), do (172), on (171), your (152)"
Dwight,Dwight,
Dwight,Pam,"you (443), the (397), i (385), a (333), to (315), is (201), and (200), no (190), it (184), of (165), that (162), this (136), in (123), me (121), what (117), on (106), for (106), do (104), my (102), your (97)"
Dwight,Kevin,"you (212), the (184), a (159), i (135), to (133), it (95), of (84), is (84), and (83), no (77), what (68), me (65), on (65), in (65), that (64), your (56), this (53), okay (49), are (49), be (48)"
Dwight,Oscar,"you (220), the (192), a (160), i (132), to (129), no (107), is (106), of (98), and (85), it (83), that (65), what (61), this (60), on (58), in (56), are (51), not (49), your (47), be (46), have (46)"
Dwight,Jim,"you (923), the (716), i (698), a (600), to (581), is (381), it (381), and (371), no (323), of (314), that (275), this (273), what (272), in (228), jim (219), me (214), my (202), on (202), are (190), not (188)"
