Scene,Speaker,Words
"Season 1, Episode 1, Scene 1",Michael,all right jim your quarterlies look very good how are things at the library so you've come to the master for guidance is this what you're saying grasshopper all right well let me show you how it's done
"Season 1, Episode 1, Scene 1",Jim,oh i told you i couldn't close it so actually you called me in here but yeah
"Season 1, Episode 1, Scene 2",Michael,yes i'd like to speak to your office manager please yes hello this is michael scott i am the regional manager of dunder mifflin paper products just wanted to talk to you manager-a-manger all right done deal thank you very much sir you're a gentleman and a scholar oh i'm sorry ok i'm sorry my mistake that was a woman i was talking to so she had a very low voice probably a smoker so so that's the way it's done
"Season 1, Episode 1, Scene 3",Michael,i've uh i've been at dunder mifflin for 12 years the last four as regional manager if you want to come through here see we have the entire floor so this is my kingdom as far as the eye can see this is our receptionist pam pam pam-pam pam beesly pam has been with us for forever right pam if you think she's cute now you should have seen her a couple of years ago any messages oh pam this is from corporate how many times have i told you there's a special filing cabinet for things from corporate it's called the wastepaper basket look at that look at that face
"Season 1, Episode 1, Scene 3",Pam,well i don't know what uh yeah just a fax you haven't told me
"Season 1, Episode 1, Scene 4",Michael,people say i am the best boss they go 'god we've never worked in a place like this before you're hilarious' 'and you get the best out of us' i think that pretty much sums it up i found it at spencer gifts
"Season 1, Episode 1, Scene 5",Dwight,shall i play for you pa rum pump um pum i have no gifts for you pa rum pump um pum
"Season 1, Episode 1, Scene 6",Jim,my job is to speak to clients on the phone about uh quantities and type of copier paper you know whether we can supply it to them whether they can pay for it and i'm boring myself just talking about this
"Season 1, Episode 1, Scene 7",Michael,whassup whassup whassup what ok all right see you later back to work
"Season 1, Episode 1, Scene 7",Jim,whassup i still love that after seven years nothing all right take care
"Season 1, Episode 1, Scene 7",Dwight,whassup whassup
"Season 1, Episode 1, Scene 9",Michael,corporate really doesn't really interfere with me at all jan levinson gould jan hello i call her hillary rodham clinton right not to her face because well not because i'm scared of her because i'm not but um yeah
"Season 1, Episode 1, Scene 10",Michael,um me no get an agenda i didn't get any agenda really i didn't did we get a fax this morning why isn't it in my hand a company runs on efficiency of communication right so what's the problem pam why didn't i get it yeah that was a joke that was a joke that was actually my brother's and it was supposed to be with bills and it doesn't work great with faxes yeah yeah lovely thank you ok no no no no this is good this is good this is fine excellent all the alarm bells are kind of going ringie-dingie-ding ok no problem me no wanna hear that jan because downsizing is a bitch it is a real bitch and i wouldn't wish that on josh's men i certainly wouldn't wish it on my men or women present company excluded sorry uh is josh concerned about downsizing himself not downsizing himself but is he concerned about downsizing
"Season 1, Episode 1, Scene 10",Pam,uh yeah the one you put in the garbage can that was a special filing cabinet
"Season 1, Episode 1, Scene 11",Michael,question how long do we have to oh uh todd packer terrific rep do you mind if i take it oh that's not appropriate uh i don't know what you mean oh my god oh that's horrifying horrible horrible person no absolutely under this regime it will not leave this office like that
"Season 1, Episode 1, Scene 13",Oscar,you guys better update your resumes just like i'm doing
"Season 1, Episode 1, Scene 14",Angela,i bet it's gonna be me probably gonna be me
"Season 1, Episode 1, Scene 14",Kevin,yeah it'll be you
"Season 1, Episode 1, Scene 15",Pam,i have an important question for you are you going to angela's cat party on sunday
"Season 1, Episode 1, Scene 15",Jim,yes yeah stop that is ridiculous
"Season 1, Episode 1, Scene 16",Michael,am i going to tell them no i am not going to tell them i don't see the point of that as a doctor you would not tell a patient if they had cancer
"Season 1, Episode 1, Scene 17",Michael,hey guilty guilty as charged howard like moe howard three stooges watch this this is moe nyuck-nyuck-nyuck-nyuck-nyuck mee ah right here three stooges oh pam it's a guy thing pam i'm sort of a student of comedy watch this here we go i'm hitler adolf hitler
"Season 1, Episode 1, Scene 17",Pam,this is mr scott
"Season 1, Episode 1, Scene 18",Pam,i don't think it would be the worst thing if they let me go because then i might i don't think it's many little girls' dream to be a receptionist i like to do illustrations um mostly watercolor a few oil pencil um jim thinks they're good dunder mifflin this is pam
"Season 1, Episode 1, Scene 19",Jim,sure mr davis let me call you right back yeah something just came up two minutes thank you very much dwight what are you doing what are you doing it's not on your desk why not we'll see this is why the whole downsizing thing just doesn't bother me
"Season 1, Episode 1, Scene 19",Dwight,what just clearing my desk i can't concentrate it's overlapping it's all spilling over the edge one word two syllables demarcation you can't do that safety violation i could fall and pierce an organ downsizing
"Season 1, Episode 1, Scene 20",Dwight,downsizing i have no problem with that i have been recommending downsizing since i first got here i even brought it up in my interview i say bring it on
"Season 1, Episode 1, Scene 21",Pam,you just still have these messages from yesterday what don't we all nothing
